,Combiner Box Schedule,Parallel Source Circuit Detail,# of PV Modules Per PV Source Circuit,# Of PV Source Circuits Per Parallel Source Circuit,1500 VDC Fuse Rating Per PV Source Circuit (A),# Of Parallel Source Circuits Per Combiner Box,1500 VDC Fuse Rating Per Parallel Source Circuit Harness (A),# Of PV Source Circuits Per Combiner Box,Average PV Module Power (W),# Of PV Modules Per Combiner Box,Combiner Box Power (kW),DC/AC Ratio (Based on 3600kW Nominal),1500 VDC Fuse Rating Per PV Combiner Output (A),DC Combiner Box Rating (A),PV Combiner Output Conductor Size and Type,Maximum Voltage (V),Operating Voltage (V),Max. Short Circuit Current (A),Operating Current (A),CB Length (ft),Power Loss From Combiner To Inverter,Power Loss Percentage From Combiner To Inverter,Power Loss Percentage From Average Harness To Combiner,Total
9,60.09,A,6,14,5,3,55,96,475,576,273.6,1.13,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,136.03,346.34,0.13%,1.32%,1.44%
10,60.09,B,6,12,5,2,55,96,475,576,273.6,1.13,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,136.03,346.34,0.13%,1.32%,1.44%
11,60.09,C,6,10,5,1,55,96,475,576,273.6,1.13,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,136.03,346.34,0.13%,1.32%,1.44%
12,60.09,A,6,14,5,4,55,96,475,576,273.6,1.13,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,136.03,346.34,0.13%,1.32%,1.44%
13,60.1,C,6,10,5,4,55,96,475,576,273.6,1.13,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,215.11,547.68,0.20%,1.32%,1.52%
14,60.1,A,6,14,5,4,55,96,475,576,273.6,1.13,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,215.11,547.68,0.20%,1.32%,1.52%
15,60.1,C,6,10,5,4,55,96,475,576,273.6,1.13,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,215.11,547.68,0.20%,1.32%,1.52%
16,60.11,A,6,14,5,4,55,96,475,576,273.6,1.13,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,215.06,547.55,0.20%,1.32%,1.52%
17,60.11,C,6,10,5,4,55,96,475,576,273.6,1.13,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,215.06,547.55,0.20%,1.32%,1.52%
18,60.12,A,6,14,5,4,55,96,475,576,273.6,1.13,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,85.97,218.88,0.08%,1.32%,1.40%
19,60.12,C,6,10,5,4,55,96,475,576,273.6,1.13,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,85.97,218.88,0.08%,1.32%,1.40%
20,60.13,A,6,14,5,4,55,96,475,576,273.6,1.13,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,215.06,547.55,0.20%,1.32%,1.52%
21,60.13,C,6,10,5,4,55,96,475,576,273.6,1.13,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,215.06,547.55,0.20%,1.32%,1.52%
22,60.14,A,6,14,5,4,55,96,475,576,273.6,1.13,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,213.97,544.78,0.20%,1.32%,1.52%
0,61.01,A,6,14,5,7,55,110,475,660,313.5,1.13,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,367,273,295.03,986.22,0.31%,1.56%,1.88%
1,61.02,B,6,12,5,1,55,104,475,624,296.4,1.13,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,347,258,232.03,693.32,0.23%,1.36%,1.59%
2,61.02,A,6,14,5,4,55,104,475,624,296.4,1.13,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,347,258,232.03,693.32,0.23%,1.36%,1.59%
3,61.02,B,6,12,5,4,55,104,475,624,296.4,1.13,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,347,258,232.03,693.32,0.23%,1.36%,1.59%
4,61.03,A,6,14,5,4,55,96,475,576,273.6,1.13,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,168.03,427.81,0.16%,1.14%,1.29%
5,61.03,C,6,10,5,4,55,96,475,576,273.6,1.13,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,168.03,427.81,0.16%,1.14%,1.29%
6,61.04,A,6,14,5,8,55,112,475,672,319.2,1.13,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,72.03,249.62,0.08%,0.85%,0.93%
7,61.05,A,6,14,5,8,55,112,475,672,319.2,1.13,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,149.97,519.71,0.16%,0.85%,1.01%
8,61.06,A,6,14,5,7,55,98,475,588,279.3,1.13,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,327,243,277.97,737.52,0.26%,0.85%,1.11%
9,61.07,A,6,14,5,3,55,72,475,432,205.2,1.13,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,240,179,263.03,376.70,0.18%,1.14%,1.32%
10,61.07,C,6,10,5,3,55,72,475,432,205.2,1.13,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,240,179,263.03,376.70,0.18%,1.14%,1.32%
11,61.08,A,6,14,5,3,55,72,475,432,205.2,1.13,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,240,179,216.03,309.39,0.15%,1.14%,1.29%
12,61.08,C,6,10,5,3,55,72,475,432,205.2,1.13,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,240,179,216.03,309.39,0.15%,1.14%,1.29%
13,61.09,A,6,14,5,4,55,96,475,576,273.6,1.13,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,152.03,387.07,0.14%,1.14%,1.28%
14,61.09,C,6,10,5,4,55,96,475,576,273.6,1.13,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,152.03,387.07,0.14%,1.14%,1.28%
15,61.1,A,6,14,5,4,55,96,475,576,273.6,1.13,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,88.03,224.13,0.08%,1.14%,1.22%
16,61.1,C,6,10,5,4,55,96,475,576,273.6,1.13,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,88.03,224.13,0.08%,1.14%,1.22%
17,61.11,A,6,14,5,4,55,96,475,576,273.6,1.13,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,40.03,101.92,0.04%,1.14%,1.18%
18,61.11,C,6,10,5,4,55,96,475,576,273.6,1.13,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,40.03,101.92,0.04%,1.14%,1.18%
19,61.12,A,6,14,5,4,55,96,475,576,273.6,1.13,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,263.06,669.76,0.24%,1.14%,1.38%
20,61.12,C,6,10,5,4,55,96,475,576,273.6,1.13,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,263.06,669.76,0.24%,1.14%,1.38%
21,61.13,A,6,14,5,4,55,96,475,576,273.6,1.13,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,133.97,341.09,0.12%,1.14%,1.26%
22,61.13,C,6,10,5,4,55,96,475,576,273.6,1.13,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,133.97,341.09,0.12%,1.14%,1.26%
23,61.14,A,6,14,5,4,55,96,475,576,273.6,1.13,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,263.06,669.76,0.24%,1.14%,1.38%
24,61.14,C,6,10,5,4,55,96,475,576,273.6,1.13,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,263.06,669.76,0.24%,1.14%,1.38%
25,61.15,A,6,14,5,3,55,72,475,432,205.2,1.13,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,240,179,261.97,375.18,0.18%,1.14%,1.32%
26,61.15,C,6,10,5,3,55,72,475,432,205.2,1.13,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,240,179,261.97,375.18,0.18%,1.14%,1.32%
0,62.01,A,6,14,5,4,55,92,475,552,262.2,1.12,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,307,228,399.03,933.05,0.36%,0.75%,1.11%
1,62.01,B,6,12,5,3,55,92,475,552,262.2,1.12,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,307,228,399.03,933.05,0.36%,0.75%,1.11%
2,62.02,B,6,12,5,3,55,76,475,456,216.6,1.12,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,254,188,288.03,459.61,0.21%,0.51%,0.72%
3,62.02,C,6,10,5,4,55,76,475,456,216.6,1.12,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,254,188,288.03,459.61,0.21%,0.51%,0.72%
4,62.03,A,6,14,5,4,55,96,475,576,273.6,1.12,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,399.03,1015.95,0.37%,1.14%,1.51%
5,62.03,C,6,10,5,4,55,96,475,576,273.6,1.12,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,399.03,1015.95,0.37%,1.14%,1.51%
6,62.04,A,6,14,5,4,55,96,475,576,273.6,1.12,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,336.03,855.55,0.31%,1.14%,1.45%
7,62.04,C,6,10,5,4,55,96,475,576,273.6,1.12,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,336.03,855.55,0.31%,1.14%,1.45%
8,62.05,A,6,14,5,4,55,96,475,576,273.6,1.12,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,272.03,692.60,0.25%,1.14%,1.39%
9,62.05,C,6,10,5,4,55,96,475,576,273.6,1.12,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,272.03,692.60,0.25%,1.14%,1.39%
10,62.06,A,6,14,5,4,55,96,475,576,273.6,1.12,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,207.97,529.50,0.19%,1.14%,1.33%
11,62.06,C,6,10,5,4,55,96,475,576,273.6,1.12,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,207.97,529.50,0.19%,1.14%,1.33%
12,62.07,A,6,14,5,4,55,96,475,576,273.6,1.12,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,144.03,366.71,0.13%,1.14%,1.27%
13,62.07,C,6,10,5,4,55,96,475,576,273.6,1.12,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,144.03,366.71,0.13%,1.14%,1.27%
14,62.08,A,6,14,5,4,55,96,475,576,273.6,1.12,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,80.03,203.76,0.07%,1.14%,1.21%
15,62.08,C,6,10,5,4,55,96,475,576,273.6,1.12,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,80.03,203.76,0.07%,1.14%,1.21%
16,62.09,A,6,14,5,4,55,96,475,576,273.6,1.12,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,48.03,122.29,0.04%,1.14%,1.18%
17,62.09,C,6,10,5,4,55,96,475,576,273.6,1.12,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,48.03,122.29,0.04%,1.14%,1.18%
18,62.1,A,6,14,5,4,55,96,475,576,273.6,1.12,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,77.97,198.51,0.07%,1.14%,1.21%
19,62.1,C,6,10,5,4,55,96,475,576,273.6,1.12,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,77.97,198.51,0.07%,1.14%,1.21%
20,62.11,A,6,14,5,4,55,96,475,576,273.6,1.12,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,141.97,361.46,0.13%,1.14%,1.27%
21,62.11,C,6,10,5,4,55,96,475,576,273.6,1.12,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,141.97,361.46,0.13%,1.14%,1.27%
22,62.12,A,6,14,5,4,55,96,475,576,273.6,1.12,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,205.97,524.41,0.19%,1.14%,1.33%
23,62.12,C,6,10,5,4,55,96,475,576,273.6,1.12,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,205.97,524.41,0.19%,1.14%,1.33%
24,62.12,A,6,14,5,4,55,96,475,576,273.6,1.12,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,205.97,524.41,0.19%,1.14%,1.33%
25,62.13,C,6,10,5,4,55,96,475,576,273.6,1.12,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,269.97,687.35,0.25%,1.14%,1.39%
26,62.14,A,6,14,5,4,55,96,475,576,273.6,1.12,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,333.97,850.30,0.31%,1.14%,1.45%
27,62.14,C,6,10,5,4,55,96,475,576,273.6,1.12,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,333.97,850.30,0.31%,1.14%,1.45%
28,62.15,A,6,14,5,1,55,90,475,540,256.5,1.12,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,300,223,447.75,1001.94,0.39%,1.01%,1.40%
29,62.15,B,6,12,5,3,55,90,475,540,256.5,1.12,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,300,223,447.75,1001.94,0.39%,1.01%,1.40%
30,62.15,C,6,10,5,4,55,90,475,540,256.5,1.12,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,300,223,447.75,1001.94,0.39%,1.01%,1.40%
0,63.01,A,6,14,5,7,55,98,475,588,279.3,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,327,243,823.46,2184.83,0.78%,0.85%,1.63%
1,63.02,A,6,14,5,8,55,112,475,672,319.2,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,696.46,2413.54,0.76%,0.85%,1.60%
2,63.03,A,6,14,5,8,55,112,475,672,319.2,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,240.03,831.81,0.26%,1.32%,1.58%
3,63.04,A,6,14,5,8,55,112,475,672,319.2,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,160.03,554.57,0.17%,1.63%,1.80%
4,63.05,A,6,14,5,8,55,112,475,672,319.2,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,96.03,332.79,0.10%,1.63%,1.73%
5,63.06,A,6,14,5,8,55,112,475,672,319.2,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,61.97,214.75,0.07%,1.63%,1.70%
6,63.07,A,6,14,5,8,55,112,475,672,319.2,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,125.97,436.54,0.14%,1.63%,1.77%
7,63.08,A,6,14,5,8,55,112,475,672,319.2,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,189.97,658.33,0.21%,1.63%,1.84%
8,63.09,A,6,14,5,5,55,90,475,540,256.5,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,300,223,143.00,320.00,0.12%,0.96%,1.09%
9,63.1,A,6,14,5,5,55,96,475,576,273.6,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,80.00,203.68,0.07%,1.14%,1.21%
10,63.1,C,6,10,5,2,55,96,475,576,273.6,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,80.00,203.68,0.07%,1.14%,1.21%
11,63.1,A,6,14,5,4,55,96,475,576,273.6,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,80.00,203.68,0.07%,1.14%,1.21%
12,63.11,C,6,10,5,4,55,96,475,576,273.6,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,48.00,122.21,0.04%,1.14%,1.18%
13,63.11,A,6,14,5,4,55,96,475,576,273.6,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,48.00,122.21,0.04%,1.14%,1.18%
14,63.11,C,6,10,5,4,55,96,475,576,273.6,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,48.00,122.21,0.04%,1.14%,1.18%
15,63.12,A,6,14,5,4,55,96,475,576,273.6,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,78.00,198.59,0.07%,1.14%,1.21%
16,63.13,A,6,14,5,4,55,72,475,432,205.2,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,240,179,142.00,203.36,0.10%,1.14%,1.24%
17,63.13,C,6,10,5,4,55,72,475,432,205.2,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,240,179,142.00,203.36,0.10%,1.14%,1.24%
18,63.13,A,6,14,5,3,55,72,475,432,205.2,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,240,179,142.00,203.36,0.10%,1.14%,1.24%
19,63.14,C,6,10,5,3,55,72,475,432,205.2,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,240,179,190.00,272.11,0.13%,1.14%,1.27%
20,63.14,A,6,14,5,3,55,72,475,432,205.2,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,240,179,190.00,272.11,0.13%,1.14%,1.27%
0,64.01,A,6,14,5,6,55,84,475,504,239.4,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,280,208,223.03,434.76,0.18%,1.63%,1.81%
1,64.02,A,6,14,5,8,55,112,475,672,319.2,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,160.03,554.57,0.17%,1.63%,1.80%
2,64.03,A,6,14,5,8,55,112,475,672,319.2,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,96.03,332.79,0.10%,1.63%,1.73%
3,64.04,A,6,14,5,8,55,112,475,672,319.2,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,61.97,214.75,0.07%,1.63%,1.70%
4,64.05,A,6,14,5,8,55,112,475,672,319.2,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,125.97,436.54,0.14%,1.63%,1.77%
5,64.06,A,6,14,5,8,55,112,475,672,319.2,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,189.97,658.33,0.21%,1.63%,1.84%
6,64.07,A,6,14,5,3,55,82,475,492,233.7,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,274,203,175.00,325.08,0.14%,1.26%,1.40%
7,64.07,C,6,10,5,4,55,82,475,492,233.7,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,274,203,175.00,325.08,0.14%,1.26%,1.40%
8,64.08,A,6,14,5,3,55,82,475,492,233.7,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,274,203,128.00,237.77,0.10%,1.50%,1.61%
9,64.08,C,6,10,5,4,55,82,475,492,233.7,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,274,203,128.00,237.77,0.10%,1.50%,1.61%
10,64.09,A,6,14,5,2,55,88,475,528,250.8,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,294,218,96.00,205.38,0.08%,1.50%,1.59%
11,64.09,C,6,10,5,6,55,88,475,528,250.8,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,294,218,96.00,205.38,0.08%,1.50%,1.59%
12,64.1,A,6,14,5,3,55,102,475,612,290.7,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,340,253,48.00,137.96,0.05%,1.50%,1.55%
13,64.1,C,6,10,5,6,55,102,475,612,290.7,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,340,253,48.00,137.96,0.05%,1.50%,1.55%
14,64.11,A,6,14,5,3,55,102,475,612,290.7,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,340,253,46.00,132.22,0.05%,1.50%,1.55%
15,64.11,C,6,10,5,6,55,102,475,612,290.7,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,340,253,46.00,132.22,0.05%,1.50%,1.55%
16,64.12,A,6,14,5,3,55,102,475,612,290.7,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,340,253,94.00,270.18,0.09%,1.50%,1.60%
17,64.12,C,6,10,5,6,55,102,475,612,290.7,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,340,253,94.00,270.18,0.09%,1.50%,1.60%
