,Combiner Box Schedule,Parallel Source Circuit Detail,# of PV Modules Per PV Source Circuit,# Of PV Source Circuits Per Parallel Source Circuit,1500 VDC Fuse Rating Per PV Source Circuit (A),# Of Parallel Source Circuits Per Combiner Box,1500 VDC Fuse Rating Per Parallel Source Circuit Harness (A),# Of PV Source Circuits Per Combiner Box,Average PV Module Power (W),# Of PV Modules Per Combiner Box,Combiner Box Power (kW),DC/AC Ratio (Based on 3600kW Nominal),1500 VDC Fuse Rating Per PV Combiner Output (A),DC Combiner Box Rating (A),PV Combiner Output Conductor Size and Type,Maximum Voltage (V),Operating Voltage (V),Max. Short Circuit Current (A),Operating Current (A),CB Length (ft),Power Loss From Combiner To Inverter,Power Loss Percentage From Combiner To Inverter,Power Loss Percentage From Average Harness To Combiner,Total
5,22.04,B,6,12,5,4,55,104,475,624,296.4,1.08,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,347,258,128.04,382.59,0.13%,1.36%,1.49%
6,22.05,A,6,14,5,4,55,104,475,624,296.4,1.08,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,347,258,64.04,191.36,0.06%,1.36%,1.43%
7,22.05,B,6,12,5,4,55,104,475,624,296.4,1.08,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,347,258,64.04,191.36,0.06%,1.36%,1.43%
8,22.06,A,6,14,5,4,55,104,475,624,296.4,1.08,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,347,258,45.96,137.33,0.05%,1.36%,1.41%
9,22.06,B,6,12,5,4,55,104,475,624,296.4,1.08,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,347,258,45.96,137.33,0.05%,1.36%,1.41%
10,22.07,A,6,14,5,4,55,104,475,624,296.4,1.08,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,347,258,93.96,280.76,0.09%,1.36%,1.46%
11,22.07,B,6,12,5,4,55,104,475,624,296.4,1.08,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,347,258,93.96,280.76,0.09%,1.36%,1.46%
12,22.08,A,6,14,5,4,55,104,475,624,296.4,1.08,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,347,258,157.96,471.99,0.16%,1.36%,1.52%
13,22.08,B,6,12,5,4,55,104,475,624,296.4,1.08,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,347,258,157.96,471.99,0.16%,1.36%,1.52%
14,22.09,A,6,14,5,4,55,104,475,624,296.4,1.08,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,347,258,221.96,663.23,0.22%,1.36%,1.58%
15,22.09,B,6,12,5,4,55,104,475,624,296.4,1.08,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,347,258,221.96,663.23,0.22%,1.36%,1.58%
16,22.1,A,6,14,5,4,55,104,475,624,296.4,1.08,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,347,258,285.96,854.47,0.29%,1.36%,1.65%
17,22.1,B,6,12,5,4,55,104,475,624,296.4,1.08,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,347,258,285.96,854.47,0.29%,1.36%,1.65%
18,22.11,A,6,14,5,4,55,104,475,624,296.4,1.08,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,347,258,349.96,1045.70,0.35%,1.36%,1.71%
19,22.11,B,6,12,5,4,55,104,475,624,296.4,1.08,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,347,258,349.96,1045.70,0.35%,1.36%,1.71%
20,22.12,A,6,14,5,4,55,104,475,624,296.4,1.08,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,347,258,413.96,1236.94,0.42%,1.36%,1.78%
21,22.12,B,6,12,5,4,55,104,475,624,296.4,1.08,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,347,258,413.96,1236.94,0.42%,1.36%,1.78%
22,22.13,A,6,14,5,4,55,104,475,624,296.4,1.08,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,347,258,477.96,1428.17,0.48%,1.36%,1.84%
23,22.13,B,6,12,5,4,55,104,475,624,296.4,1.08,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,347,258,477.96,1428.17,0.48%,1.36%,1.84%
0,23.01,A,6,14,5,7,55,98,475,588,279.3,1.08,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,327,243,1089.99,2891.99,1.04%,0.85%,1.88%
1,23.02,A,6,14,5,7,55,98,475,588,279.3,1.08,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,327,243,978.99,2597.49,0.93%,0.85%,1.78%
2,23.03,A,6,14,5,7,55,98,475,588,279.3,1.08,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,327,243,866.99,2300.32,0.82%,0.85%,1.67%
3,23.04,A,6,14,5,7,55,98,475,588,279.3,1.08,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,327,243,406.32,1078.06,0.39%,1.28%,1.67%
4,23.05,A,6,14,5,7,55,98,475,588,279.3,1.08,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,327,243,342.32,908.25,0.33%,1.63%,1.95%
5,23.06,A,6,14,5,8,55,112,475,672,319.2,1.08,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,278.32,964.50,0.30%,1.63%,1.93%
6,23.07,A,6,14,5,8,55,112,475,672,319.2,1.08,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,214.32,742.71,0.23%,1.63%,1.86%
7,23.08,A,6,14,5,8,55,112,475,672,319.2,1.08,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,150.32,520.93,0.16%,1.63%,1.79%
8,23.09,A,6,14,5,8,55,112,475,672,319.2,1.08,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,86.32,299.14,0.09%,1.63%,1.72%
9,23.1,A,6,14,5,8,55,112,475,672,319.2,1.08,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,51.68,179.09,0.06%,1.63%,1.69%
10,23.11,A,6,14,5,8,55,112,475,672,319.2,1.08,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,115.68,400.88,0.13%,1.63%,1.75%
11,23.12,A,6,14,5,7,55,98,475,588,279.3,1.08,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,327,243,179.68,476.73,0.17%,1.43%,1.60%
12,23.13,A,6,14,5,7,55,98,475,588,279.3,1.08,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,327,243,275.68,731.44,0.26%,0.85%,1.11%
0,24.01,A,6,14,5,6,55,84,475,504,239.4,1.05,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,280,208,762.31,1485.98,0.62%,0.85%,1.47%
1,24.02,A,6,14,5,6,55,84,475,504,239.4,1.05,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,280,208,667.31,1300.80,0.54%,0.85%,1.39%
2,24.03,A,6,14,5,7,55,98,475,588,279.3,1.05,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,327,243,182.00,482.89,0.17%,1.63%,1.80%
3,24.04,A,6,14,5,7,55,98,475,588,279.3,1.05,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,327,243,134.00,355.53,0.13%,1.63%,1.76%
4,24.05,A,6,14,5,7,55,98,475,588,279.3,1.05,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,327,243,86.00,228.18,0.08%,1.63%,1.71%
5,24.06,A,6,14,5,7,55,98,475,588,279.3,1.05,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,327,243,52.00,137.97,0.05%,1.63%,1.68%
6,24.07,A,6,14,5,7,55,98,475,588,279.3,1.05,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,327,243,116.00,307.77,0.11%,1.63%,1.74%
7,24.08,A,6,14,5,7,55,98,475,588,279.3,1.05,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,327,243,164.00,435.13,0.16%,1.63%,1.78%
8,24.09,A,6,14,5,3,55,90,475,540,256.5,1.05,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,300,223,159.00,355.80,0.14%,1.46%,1.60%
9,24.09,B,6,12,5,4,55,90,475,540,256.5,1.05,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,300,223,159.00,355.80,0.14%,1.46%,1.60%
10,24.1,A,6,14,5,4,55,92,475,552,262.2,1.05,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,307,228,112.00,261.89,0.10%,1.46%,1.56%
11,24.1,B,6,12,5,3,55,92,475,552,262.2,1.05,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,307,228,112.00,261.89,0.10%,1.46%,1.56%
12,24.11,A,6,14,5,4,55,104,475,624,296.4,1.05,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,347,258,48.00,143.43,0.05%,1.46%,1.51%
13,24.11,B,6,12,5,4,55,104,475,624,296.4,1.05,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,347,258,48.00,143.43,0.05%,1.46%,1.51%
14,24.12,A,6,14,5,4,55,104,475,624,296.4,1.05,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,347,258,46.00,137.45,0.05%,1.46%,1.51%
15,24.12,B,6,12,5,4,55,104,475,624,296.4,1.05,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,347,258,46.00,137.45,0.05%,1.46%,1.51%
16,24.13,A,6,14,5,4,55,92,475,552,262.2,1.05,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,307,228,110.00,257.21,0.10%,1.46%,1.56%
17,24.13,B,6,12,5,3,55,92,475,552,262.2,1.05,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,307,228,110.00,257.21,0.10%,1.46%,1.56%
18,24.14,A,6,14,5,3,55,90,475,540,256.5,1.05,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,300,223,158.00,353.56,0.14%,1.46%,1.60%
19,24.14,B,6,12,5,4,55,90,475,540,256.5,1.05,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,300,223,158.00,353.56,0.14%,1.46%,1.60%
0,25.01,A,6,14,5,8,55,112,475,672,319.2,,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,253.00,876.76,0.27%,1.63%,1.90%
1,25.02,A,6,14,5,8,55,112,475,672,319.2,,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,190.00,658.43,0.21%,1.63%,1.84%
2,25.03,A,6,14,5,7,55,98,475,588,279.3,,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,327,243,126.00,334.31,0.12%,1.16%,1.28%
3,25.04,A,6,14,5,8,55,112,475,672,319.2,,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,60.00,207.93,0.07%,0.85%,0.91%
4,25.05,A,6,14,5,4,55,104,475,624,296.4,,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,347,258,215.00,642.43,0.22%,1.46%,1.68%
5,25.05,B,6,12,5,4,55,104,475,624,296.4,,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,347,258,215.00,642.43,0.22%,1.46%,1.68%
6,25.06,A,6,14,5,4,55,104,475,624,296.4,,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,347,258,152.00,454.19,0.15%,1.46%,1.62%
7,25.06,B,6,12,5,4,55,104,475,624,296.4,,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,347,258,152.00,454.19,0.15%,1.46%,1.62%
8,25.07,A,6,14,5,4,55,116,475,696,330.6,,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,387,288,88.00,327.13,0.10%,1.46%,1.56%
9,25.08,A,6,14,5,4,55,118,475,708,336.3,,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,394,293,38.00,146.17,0.04%,1.46%,1.51%
10,25.08,B,6,12,5,5,55,118,475,708,336.3,,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,394,293,38.00,146.17,0.04%,1.46%,1.51%
